"input","output","section_texts"
"IT IS OBLIGATORY
FOR The parties to joint commissioning arrangements
TO —
(a) have regard to them in the exercise of their functions, and
(b) keep them under review.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""The parties to joint commissioning arrangements"",
  ""to"": ""— (a) have regard to them in the exercise of their functions, and (b) keep them under review."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/77"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/19""
  ]
}","[
  ""section-26""
]"
"IT IS PERMITTED
FOR Regulations 
TO prescribe circumstances in which an integrated care board that would otherwise be a partner commissioning body of a local authority by virtue of subsection (8)(b) is to be treated as not being a partner commissioning body of the authority.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
  ""type"": ""PERMITTED"",
  ""for"": ""Regulations"",
  ""to"": ""prescribe circumstances in which an integrated care board that would otherwise be a partner commissioning body of a local authority by virtue of subsection (8)(b) is to be treated as not being a partner commissioning body of the authority."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/21""
  ]
}","[
  ""section-26""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO keep under review—
(a) the educational provision, training provision and social care provision made in its area for children and young people who have special educational needs or a disability, and
(b) the educational provision, training provision and social care provision made outside its area for—
(i) children and young people for whom it is responsible who have special educational needs, and
(ii) children and young people in its area who have a disability.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""keep under review— (a) the educational provision, training provision and social care provision made in its area for children and young people who have special educational needs or a disability, and (b) the educational provision, training provision and social care provision made outside its area for— (i) children and young people for whom it is responsible who have special educational needs, and (ii) children and young people in its area who have a disability."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/25""
  ]
}","[
  ""section-27""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO consider the extent to which the provision reviewed is sufficient to meet the educational, training and social care needs of the children and young people concerned","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""consider the extent to which the provision reviewed is sufficient to meet the educational, training and social care needs of the children and young people concerned"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/22""
  ]
}","[
  ""section-27""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO consult—
(a) children and young people in its area with special educational needs, and the parents of children in its area with special educational needs;
(b) children and young people in its area who have a disability, and the parents of children in its area who have a disability;
(c) the governing bodies of maintained schools and maintained nursery schools in its area;
(d) the proprietors of Academies in its area;
(e) the governing bodies, proprietors or principals of post-16 institutions in its area;
(f) the governing bodies of non-maintained special schools in its area;
(g) the advisory boards of children's centres in its area;
(h) the providers of relevant early years education in its area;
(i) the governing bodies, proprietors or principals of other schools and post-16 institutions in England and Wales that the authority thinks are or are likely to be attended by—
(i) children or young people for whom it is responsible, or
(ii) children or young people in its area who have a disability;
(j) a youth offending team that the authority thinks has functions in relation to—
(i) children or young people for whom it is responsible, or
(ii) children or young people in its area who have a disability;
(k) such other persons as the authority thinks appropriate.
WHEN/IF/WHERE exercising its functions under this section","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""consult— (a) children and young people in its area with special educational needs, and the parents of children in its area with special educational needs; (b) children and young people in its area who have a disability, and the parents of children in its area who have a disability; (c) the governing bodies of maintained schools and maintained nursery schools in its area; (d) the proprietors of Academies in its area; (e) the governing bodies, proprietors or principals of post-16 institutions in its area; (f) the governing bodies of non-maintained special schools in its area; (g) the advisory boards of children's centres in its area; (h) the providers of relevant early years education in its area; (i) the governing bodies, proprietors or principals of other schools and post-16 institutions in England and Wales that the authority thinks are or are likely to be attended by— (i) children or young people for whom it is responsible, or (ii) children or young people in its area who have a disability; (j) a youth offending team that the authority thinks has functions in relation to— (i) children or young people for whom it is responsible, or (ii) children or young people in its area who have a disability; (k) such other persons as the authority thinks appropriate."",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""exercising its functions under this section"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/27""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/57""
  ]
}","[
  ""section-27""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO co-operate with each of its local partners in the exercise of its functions under this Part","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""co-operate with each of its local partners in the exercise of its functions under this Part"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/25"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/29""
  ]
}","[
  ""section-28""
]"
"IT IS OBLIGATORY
FOR each local partner
TO co-operate with the local authority in the exercise of the authority's functions under this Part","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""each local partner"",
  ""to"": ""co-operate with the local authority in the exercise of the authority's functions under this Part"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/29"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/21""
  ]
}","[
  ""section-28""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO make arrangements for ensuring co-operation between—
(a) the officers of the authority who exercise the authority's functions relating to education or training,
(b) the officers of the authority who exercise the authority's social services functions for children or young people with special educational needs, and
(c) the officers of the authority, so far as they are not officers within paragraph (a) or (b), who exercise the authority's functions relating to provision which is within section 30(2)(e) (provision to assist in preparing children and young people for adulthood and independent living).","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""make arrangements for ensuring co-operation between— (a) the officers of the authority who exercise the authority's functions relating to education or training, (b) the officers of the authority who exercise the authority's social services functions for children or young people with special educational needs, and (c) the officers of the authority, so far as they are not officers within paragraph (a) or (b), who exercise the authority's functions relating to provision which is within section 30(2)(e) (provision to assist in preparing children and young people for adulthood and independent living)."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/62""
  ]
}","[
  ""section-28""
]"
"IT IS PERMITTED
FOR Regulations
TO prescribe circumstances in which an integrated care board that would otherwise be a local partner of a local authority by virtue of subsection (2)(l)(ii) is to be treated as not being a local partner of the authority.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
  ""type"": ""PERMITTED"",
  ""for"": ""Regulations"",
  ""to"": ""prescribe circumstances in which an integrated care board that would otherwise be a local partner of a local authority by virtue of subsection (2)(l)(ii) is to be treated as not being a local partner of the authority."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/21""
  ]
}","[
  ""section-28""
]"
"IT IS OBLIGATORY
FOR the appropriate authority for a school or post-16 institution mentioned in subsection (2)
TO co-operate with each responsible local authority in the exercise of its functions under this Part","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/29"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the appropriate authority for a school or post-16 institution mentioned in subsection (2)"",
  ""to"": ""co-operate with each responsible local authority in the exercise of its functions under this Part"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/21""
  ]
}","[
  ""section-29""
]"
"IT IS OBLIGATORY
FOR each responsible local authority
TO co-operate with the appropriate authority, in the exercise of those functions.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/29"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""each responsible local authority"",
  ""to"": ""co-operate with the appropriate authority, in the exercise of those functions."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/21""
  ]
}","[
  ""section-29""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO publish information about—
(a) the provision within subsection (2) it expects to be available in its area at the time of publication for children and young people who have special educational needs or a disability, and
(b) the provision within subsection (2) it expects to be available outside its area at that time for—
(i) children and young people for whom it is responsible, and
(ii) children and young people in its area who have a disability.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""publish information about— (a) the provision within subsection (2) it expects to be available in its area at the time of publication for children and young people who have special educational needs or a disability, and (b) the provision within subsection (2) it expects to be available outside its area at that time for— (i) children and young people for whom it is responsible, and (ii) children and young people in its area who have a disability."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/25""
  ]
}","[
  ""section-30""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO keep its SEN and disability local offer under review","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""keep its SEN and disability local offer under review"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/19"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/22""
  ]
}","[
  ""section-30""
]"
"IT IS PERMITTED
FOR a local authority in England
TO from time to time revise it.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
  ""type"": ""PERMITTED"",
  ""for"": ""a local authority in England"",
  ""to"": ""from time to time revise it."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/19"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/22""
  ]
}","[
  ""section-30""
]"
"IT IS OBLIGATORY
FOR a local authority
TO from time to time publish—
(a) comments about its SEN and disability local offer it has received from or on behalf of—
(i) children and young people with special educational needs, and the parents of children with special educational needs, and
(ii) children and young people who have a disability, and the parents of children who have a disability, and
(b) the authority's response to those comments (including details of any action the authority intends to take).","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority"",
  ""to"": ""from time to time publish— (a) comments about its SEN and disability local offer it has received from or on behalf of— (i) children and young people with special educational needs, and the parents of children with special educational needs, and (ii) children and young people who have a disability, and the parents of children who have a disability, and (b) the authority's response to those comments (including details of any action the authority intends to take)."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/22""
  ]
}","[
  ""section-30""
]"
"IT IS PERMITTED
FOR Regulations
TO make provision about—
(a) the information to be included in an authority's SEN and disability local offer ;
(b) how an authority's SEN and disability local offer is to be published;
(c) who is to be consulted by an authority in preparing and reviewing its SEN and disability local offer ;
(d) how an authority is to involve—
(i) children and young people with special educational needs, and the parents of children with special educational needs, and
(ii) children and young people who have a disability, and the parents of children who have a disability,
in the preparation and review of its SEN and disability local offer ;
(e) the publication of comments on the SEN and disability local offer , and the local authority's response, under subsection (6) (including circumstances in which comments are not required to be published).","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
  ""type"": ""PERMITTED"",
  ""for"": ""Regulations"",
  ""to"": ""make provision about— (a) the information to be included in an authority's SEN and disability local offer ; (b) how an authority's SEN and disability local offer is to be published; (c) who is to be consulted by an authority in preparing and reviewing its SEN and disability local offer ; (d) how an authority is to involve— (i) children and young people with special educational needs, and the parents of children with special educational needs, and (ii) children and young people who have a disability, and the parents of children who have a disability, in the preparation and review of its SEN and disability local offer ; (e) the publication of comments on the SEN and disability local offer , and the local authority's response, under subsection (6) (including circumstances in which comments are not required to be published)."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/22""
  ]
}","[
  ""section-30""
]"
"IT IS PERMITTED
FOR Regulations
TO in particular require an authority's SEN and disability local offer to include—
(a) information about how to obtain an EHC needs assessment;
(b) information about other sources of information, advice and support for—
(i) children and young people with special educational needs and those who care for them, and
(ii) children and young people who have a disability and those who care for them;
(c) information about gaining access to provision additional to, or different from, the provision mentioned in subsection (2);
(d) information about how to make a complaint about provision mentioned in subsection (2).","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
  ""type"": ""PERMITTED"",
  ""for"": ""Regulations"",
  ""to"": ""in particular require an authority's SEN and disability local offer to include— (a) information about how to obtain an EHC needs assessment; (b) information about other sources of information, advice and support for— (i) children and young people with special educational needs and those who care for them, and (ii) children and young people who have a disability and those who care for them; (c) information about gaining access to provision additional to, or different from, the provision mentioned in subsection (2); (d) information about how to make a complaint about provision mentioned in subsection (2)."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/22"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/76""
  ]
}","[
  ""section-30""
]"
"IT IS OBLIGATORY
FOR The person or body
TO comply with the request
UNLESS the person or body considers that doing so would—
(a) be incompatible with the duties of the person or body, or
(b) otherwise have an adverse effect on the exercise of the functions of the person or body.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/31"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""The person or body"",
  ""to"": ""comply with the request"",
  ""conditions"": [
    {
      ""type"": ""UNLESS"",
      ""text"": ""the person or body considers that doing so would— (a) be incompatible with the duties of the person or body, or (b) otherwise have an adverse effect on the exercise of the functions of the person or body."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/31""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/49""
  ]
}","[
  ""section-31""
]"
"IT IS OBLIGATORY
FOR A person or body that decides not to comply with a request under subsection (1)
TO give the authority that made the request written reasons for the decision.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/31"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""A person or body that decides not to comply with a request under subsection (1)"",
  ""to"": ""give the authority that made the request written reasons for the decision."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/36"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/49""
  ]
}","[
  ""section-31""
]"
"IT IS PERMITTED
FOR Regulations
TO provide that, where a person or body is under a duty to comply with a request to co-operate with a local authority in securing an EHC needs assessment, a detained person's EHC needs assessment or the preparation of an EHC plan, the person or body must comply with the request within a prescribed period, unless a prescribed exception applies.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/31"",
  ""type"": ""PERMITTED"",
  ""for"": ""Regulations"",
  ""to"": ""provide that, where a person or body is under a duty to comply with a request to co-operate with a local authority in securing an EHC needs assessment, a detained person's EHC needs assessment or the preparation of an EHC plan, the person or body must comply with the request within a prescribed period, unless a prescribed exception applies."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/72"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/49""
  ]
}","[
  ""section-31""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO arrange for children and young people for whom it is responsible, and the parents of such children, to be provided with advice and information about matters relating to the special educational needs of the children or young people concerned","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/32"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""arrange for children and young people for whom it is responsible, and the parents of such children, to be provided with advice and information about matters relating to the special educational needs of the children or young people concerned"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27""
  ]
}","[
  ""section-32""
]"
